China,1379880000
India,1330780000
United States,324933000
Indonesia,260581000
Brazil,206951000
Pakistan,194818000
Nigeria,186987000
Bangladesh,161429000
Russia,146727405
Japan,126693000
Mexico,122273000
Philippines,103318000
Ethiopia,101853000
Vietnam,95261000
Egypt,91944200
Democratic Republic of the Congo,85110000
Germany,82175700
Iran,79686400
Turkey,78741053
Thailand,68145000
France,66821000
United Kingdom,65110000
Italy,60665551
South Africa,55908000
Tanzania,55155000
Myanmar,54635000
South Korea,50801405
Colombia,48926100
Kenya,47251000
Spain,46812000
Argentina,43850000
Ukraine,42650186
Sudan,41176000
Algeria,40400000
Poland,38426809
Uganda,36860700
Iraq,36787000
Canada,36362600
Morocco,34141000
Saudi Arabia,32248000
Malaysia,31834500
Uzbekistan,31575300
Peru,31488700
Venezuela,31028700
Nepal,30986975
Ghana,28308301
Afghanistan,27657145
Yemen,27478000
Mozambique,26423700
Angola,25789024
Australia,24273700
North Korea,24213510
Taiwan,23519518
Cameroon,22709892
Ivory Coast,22671331
Madagascar,22434363
Sri Lanka,21203000
Niger,20715000
Romania,19760000
Burkina Faso,19034397
Syria,18564000
Mali,18341000
Chile,18191900
Kazakhstan,17753200
Netherlands,17063500
Malawi,16832910
Ecuador,16623600
Guatemala,16176133
Zambia,15933883
Cambodia,15626444
Senegal,14799859
Chad,14497000
Zimbabwe,14240168
Guinea,12947000
South Sudan,12131000
Rwanda,11553188
Belgium,11334099
Cuba,11239004
Tunisia,11154400
Somalia,11079000
Haiti,11078033
Bolivia,10985059
Greece,10858018
Benin,10653654
Czech Republic,10564866
Portugal,10341330
Burundi,10114505
Dominican Republic,10075045
Sweden,9954420
United Arab Emirates,9856000
Hungary,9823000
Azerbaijan,9775700
Jordan,9761720
Belarus,9505200
Austria,8767919
Honduras,8721014
Israel,8610600
Tajikistan,8551000
Switzerland,8364100
Papua New Guinea,8151300
Hong Kong,7346700
Bulgaria,7153784
Togo,7143000
Serbia,7076372
Sierra Leone,7075641
Paraguay,6854536
El Salvador,6520675
Laos,6492400
Libya,6385000
Nicaragua,6262703
Kyrgyzstan,6088000
Lebanon,5988000
Denmark,5745526
Singapore,5607300
Finland,5501043
Slovakia,5426252
Eritrea,5352000
Norway,5236826
Central African Republic,4998000
Costa Rica,4890379
Palestine,4816503
Ireland,4757976
Turkmenistan,4751120
Republic of the Congo,4741000
New Zealand,4732480
Oman,4496760
Croatia,4190669
Kuwait,4183658
Liberia,4076530
Panama,3814672
Georgia,3720400
Mauritania,3718678
Moldova[,3553100
Bosnia and Herzegovina,3531159
Uruguay,3480222
Puerto Ricoi,3474182
Mongolia,3115675
Armenia,2995100
Albania,2886026
Lithuania,2859709
Jamaica,2723246
Qatar,2401598
Namibia,2324388
Botswana,2230905
Macedonia,2071278
Slovenia,2063371
Latvia,1957200
Lesotho,1916000
The Gambia,1882450
Kosovo,1836978
Gabon,1802278
Guinea-Bissau,1547777
Bahrain,1404900
Trinidad and Tobago,1349667
Estonia,1315944
Mauritius,1263747
Equatorial Guinea,1222442
East Timor,1167242
Swaziland,1132657
Djibouti,900000
Fiji,867000
Cyprus,847000
Comoros,806153
Bhutan,780260
Guyana,746900
Macaui,652500
Solomon Islands,642000
Montenegro,621810
Western Sahara,584000
Luxembourg,576200
Suriname,541638
Cape Verde,531239
Transnistria,475665
Malta,429344
Brunei,411900
Bahamas,378040
Belize,375909
Maldives,344023
Iceland,337610
Northern Cyprus,294396
Barbados,285000
Vanuatu,277500
French Polynesiai,271800
New Caledoniai,268767
Abkhazia,240705
Samoa,194899
Sio Tomi and Principe,187356
Saint Lucia,186000
Guami,184200
Curacao,158986
iNagorno-Karabakh Republic,150932
Kiribati,113400
Arubai,110108
Saint Vincent and the Grenadines,109991
United States Virgin Islands,106000
Grenada,103328
Tonga,103252
Federated States of Micronesia,102800
Jerseyi,102700
Seychelles,93144
Antigua and Barbuda,86295
Isle of Mani,84497
Andorra,78014
Dominica,71293
Guernseyi,63001
Bermudai,61954
Cayman Islands,60413
American Samoa,57100
Northern Mariana Islands,56940
Greenland,56186
Marshall Islands,54880
South Ossetia,53532
Faroe Islands,49755
Saint Kitts and Nevis,46204
Monaco,38400
Sint Maarten,38247
Liechtenstein,37623
Saint-Martin,36457
Gibraltar,33140
San Marino,33005
Turks and Caicos Islands,31458
British Virgin Islands,28514
Bonaire,18905
Cook Islands,18100
Palau,17950
Anguilla,13452
Wallis and Futuna,11750
Tuvalu,10640
Nauru,10084
Saint Barthlemy,9417
Saint Pierre and Miquelon,6286
Montserrat,4922
"Saint Helena, Ascension and Tristan da Cunha",4255
Sint Eustatius,3877
Falkland Islands,2563
Norfolk Island,2302
Christmas Island,2072
Saba,1811
Niue,1470
Tokelau,1411
Vatican City,842
Cocos ,550
Pitcairn Islands,57
